,Logistic Regression,Neural Network,Linearization
FAR (%),0.0,0.000 ± 0.000,0.000 ± 0.000
TTD,4.0,0.000 ± 0.000,0.000 ± 0.000
MDR (%),0.25,0.000 ± 0.000,0.000 ± 0.000
