,Logistic Regression,Neural Network,Linearization
FAR (%),0.0,0.875 ± 0.306,0.812 ± 0.400
TTD,18.0,17.900 ± 1.513,18.200 ± 1.600
MDR (%),2.25,2.188 ± 0.151,2.200 ± 0.150
