,Logistic Regression,Neural Network,Linearization
FAR (%),0.0,0.000 ± 0.000,0.000 ± 0.000
TTD,1.0,0.000 ± 0.000,0.000 ± 0.000
MDR (%),0.125,0.000 ± 0.000,0.000 ± 0.000
