,Logistic Regression,Neural Network,Linearization
FAR (%),0.0,0.000 ± 0.000,0.000 ± 0.000
TTD,91.0,21.000 ± 0.000,21.000 ± 0.000
MDR (%),58.875,19.225 ± 1.176,19.225 ± 1.176
