,Logistic Regression,Neural Network,Linearization
FAR (%),0.625,5.000 ± 2.219,3.562 ± 1.876
TTD,765.0,580.600 ± 70.142,606.200 ± 72.639
MDR (%),95.625,82.737 ± 1.625,84.625 ± 2.184
